Firehose_annotation	converter	data_category	data_type	experimental_strategy	platform	center_namespace	tags	workflow_type
clinical__biospecimen	clinical	Biospecimen	Biospecimen Supplement					
clinical__primary	clinical	Clinical	Clinical Supplement					
CNV__snp6	seg_broad	Copy Number Variation	Copy Number Segment	Genotyping Array	Affymetrix SNP 6.0			DNAcopy
CNV_no_germline__snp6	seg_broad	Copy Number Variation	Masked Copy Number Segment	Genotyping Array	Affymetrix SNP 6.0			DNAcopy
miR__illum__geneExp	tsv2idtsv	Transcriptome Profiling	miRNA Expression Quantification	miRNA-Seq				BCGSC miRNA Profiling
miR__illum__isoformExp	tsv2idtsv	Transcriptome Profiling	Isoform Expression Quantification	miRNA-Seq				BCGSC miRNA Profiling
mRNA__illum__geneExp	unzip_tsv2idtsv	Transcriptome Profiling	Gene Expression Quantification	RNA-Seq				HTSeq - FPKM
mRNA__illum__isoformExp	tsv2idtsv	Transcriptome Profiling	Isoform Expression Quantification	RNA-Seq				
